trinity_mixed 	description	logFC	logCPM	PValue	FDR	uniprot_id	organism	evalue	Name	length	Domains	Protein Families							
comp33101_c0_seq3	Putative uncharacterized protein	-9.948704938	4.372659489	7.75986E-06	0.002270698	C3ZMR0	Branchiostoma floridae	6.13653E-16	coral	130	-	-							
comp33533_c0_seq2	Predicted protein	-9.896839389	3.72844326	2.5773E-05	0.005349322	A7RJV7	Nematostella vectensis	4.22262E-85	coral	361	-	-							
comp21453_c0_seq1	Synaptonemal complex protein 3	-9.862008721	7.478701096	9.76776E-06	0.002670172	Q60547	Mesocricetus auratus	9.52691E-42	coral	234	-	XLR/SYCP3 family							
comp7046_c0_seq1	Predicted protein	-9.603034209	1.593414784	0.000611515	0.04784545	A7SEV0	Nematostella vectensis	6.04542E-10	coral	316	-	-							
comp36032_c0_seq1	Predicted protein	-9.582401495	1.551417189	0.000264899	0.027615783	A7T1V2	Nematostella vectensis	2.72676E-31	coral	282	SH3 domains (3)	-							
comp6215_c0_seq1	Predicted protein	-9.547344044	1.208284156	0.000395857	0.035780368	A7RGA3	Nematostella vectensis	4.16364E-50	coral	637	-	-							
comp33449_c1_seq3	Hemicentin-1 (Hmcn1)	-9.506799916	6.080726806	1.29558E-05	0.003263116	Q96RW7	Homo sapiens	2.27862E-41	coral	5635	EGF-like domains (7); Ig-like C2-type (immunoglobulin-like) domains (44); Nidogen G2 beta-barrel domain (1); TSP type-1 domains (6); VWFA domain (1)								
comp28986_c0_seq5	Uncharacterized protein (Fragment)	-9.437219025	6.202994489	3.33122E-06	0.001188708	L1IAD2	Guillardia theta CCMP2712	2.1407E-14	coral	406	-	-							
comp45097_c0_seq1	DnaJ homolog subfamily C member 5B	-9.436750811	1.426543905	0.001058425	0.066458389	Q9UF47	Homo sapiens	2.04196E-14	coral	199	J domain (1)	-							
comp34864_c0_seq11	Ryncolin-4	-9.396050194	4.674246081	2.59982E-07	0.000171405	D8VNT0	Cerberus rynchops	5.10618E-67	coral	345	Collagen-like domain (1); Fibrinogen C-terminal domain (1)	"Ficolin lectin family, Veficolin subfamily"							
comp15129_c0_seq1	Pod-EPPT protein (Fragment)	-9.382088354	1.286259778	0.000443347	0.038949596	Q25677	Podocoryne carnea	6.97706E-26	coral	353	-	-							
comp19604_c2_seq1	Tubulin beta chain	-9.298701564	9.873114141	7.42907E-07	0.000358129	P11833	Paracentrotus lividus	0	coral	447		Tubulin family							
comp16545_c0_seq1	Hydrocephalus-inducing protein	-9.274727189	1.165580224	0.000691763	0.05160254	Q80W93	Mus musculus	8.37605E-37	coral	5154	-	-							
comp21591_c0_seq1	PREDICTED: putative ATP-dependent RNA helicase TDRD9-like 	-9.149408035	0.950972051	0.001358305	0.077082927	XP_002155991	Hydra vulgaris	5.41678E-09	coral	587	-	-							
comp32351_c1_seq4	Actin-3	-9.114094731	10.61943956	1.6832E-06	0.000684445	P41340	Limulus polyphemus	0	coral	376	-	Actin family							
comp20953_c0_seq1	Histone acetyltransferase KAT2B	-9.092177852	0.965020207	0.001476872	0.081095691	Q92831	Homo sapiens	4.32468E-63	coral	832	Bromo domain (1); N-acetyltransferase domain (1)	"Acetyltransferase family, GCN5 subfamily"							
comp19007_c0_seq1	"Dynein heavy chain 8, axonemal"	-8.817557369	5.801360653	0.000106897	0.014745883	Q96JB1	Homo sapiens	0	coral	4490	-	Dynein heavy chain family							
comp19528_c0_seq1	F-box only protein 43	-8.645541147	3.06689088	1.09766E-05	0.002894736	Q8AXF4	Xenopus laevis	2.2951E-11	coral	651	F-box domain (1); IBR-type zinc finger (1)								
comp27876_c0_seq1	Ovochymase-1	-8.385384684	5.598020171	2.4392E-09	5.39105E-06	Q7RTY7	Homo sapiens	3.26028E-36	coral	1134	CUB domains (3); Peptidase S1 domains (2)	Peptidase S1 family							
comp21027_c0_seq2	Calcium and integrin-binding family member 2 (KIP2)	-8.339103264	2.756692358	2.88893E-05	0.005816767	Q9Z309	Mus musculus	2.74588E-52	coral	187	EF-hand domains (3)	-							
comp19253_c0_seq2	Cyclin-dependent kinase 2	-8.176485297	3.997815477	4.42625E-05	0.007969378	P43450	Carassius auratus	3.4941E-164	coral	298	Protein kinase domain (1)	"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"							
comp22875_c0_seq1	Uncharacterized protein C1orf101	-8.113484523	3.400497233	8.86257E-05	0.013113101	Q5SY80	Homo sapiens	2.27268E-22	coral	951	-	-							
comp25323_c0_seq2	Latent-transforming growth factor beta-binding protein 2	-8.108186758	2.534630335	0.00029179	0.029134771	Q28019	Bos taurus	2.05779E-22	coral	1842	EGF-like domains (20); TB (TGF-beta binding) domains (4)	LTBP family							
comp42850_c0_seq1	PR domain zinc finger protein 14	-8.058575424	4.270346396	7.55541E-05	0.011761256	Q9GZV8	Homo sapiens	1.1093E-135	coral	571	C2H2-type zinc fingers (6); SET domain (1)	Class V-like SAM-binding methyltransferase superfamily							
comp30159_c0_seq1	NheA	-8.029498041	4.274614391	8.58104E-07	0.000396603	Q09KI5	Bacillus cereus	1.11768E-11	coral	387	-	-							
comp37754_c0_seq1	Histone H4	-7.812547965	5.671466616	0.000173853	0.02067417	Q6LAF1	Dendronephthya klunzingeri	1.2385E-47	coral	103		Histone H4 family							
comp7786_c0_seq2	Toxin APEKTx1	-7.810744295	7.409645687	4.04864E-05	0.007461052	P86862	Anthopleura elegantissima	7.65781E-15	coral	65	BPTI/Kunitz inhibitor domain (1)	Cnidaria Kunitz-type proteinase inhibitor family							
comp46445_c0_seq1	C-type lectin	-7.754462901	3.684489014	0.000399996	0.03586524	C0KTQ4	Pocillopora damicornis	4.54059E-12	coral	162	-	-							
comp33832_c0_seq1	Reversion-inducing cysteine-rich protein with Kazal motifs	-7.721439643	6.041141978	1.98279E-05	0.004422502	O95980	Homo sapiens	5.05616E-21	coral	971	Kazal-like domains (3)								
comp6284_c0_seq1	DNA replication ATP-dependent helicase/nuclease DNA2	-7.361101249	1.779837756	0.000590262	0.047086499	D3ZG52	Rattus norvegicus	1.53807E-33	coral	1059	-	DNA2/NAM7 helicase family							
comp29695_c1_seq11	Protease inhibitor textilinin-4	-7.240566788	8.883666041	2.27802E-05	0.004910008	Q90W98	Pseudonaja textilis textilis	6.81614E-06	coral	83	BPTI/Kunitz inhibitor domain (1)	Venom Kunitz-type family							
comp9422_c1_seq1	Putative flagellar-associated protein (Fragment)	-7.157103681	4.96318321	0.000421118	0.037608705	M1T236	Stylophora pistillata	1.131E-172	coral	479	-	-							
comp27345_c0_seq1	Serine/threonine-protein kinase Nek2	-6.594791654	3.585262318	0.000159982	0.019596484	P51955	Homo sapiens	1.8031E-141	coral	445	Protein kinase domain (1)	"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily"							
comp23274_c0_seq1	Atrial natriuretic peptide receptor 1	-6.577856292	1.866120452	0.001955607	0.09581831	P16066	Homo sapiens	2.8178E-112	coral	1061	Guanylate cyclase domain (1); Protein kinase domain (1)	Adenylyl cyclase class-4/guanylyl cyclase family							
comp27539_c0_seq1	Uncharacterized protein C1orf146	-6.459943102	4.424860894	2.89333E-05	0.005816767	Q5VVC0	Homo sapiens	3.28451E-23	coral	180	-	-							
comp25680_c0_seq1	Cation channel sperm-associated protein 3	-6.336504869	4.955369424	0.000499615	0.042421819	Q80W99	Mus musculus	1.15725E-53	coral	395	-	Cation channel sperm-associated (TC 1.A.1.19) family							
comp34049_c0_seq1	Fibronectin type 3 and ankyrin repeat domains 1 protein	-6.32010025	6.265182313	1.47216E-05	0.003542982	Q66H07	Rattus norvegicus	8.87144E-83	coral	344	ANK repeats (6); Fibronectin type-III domain (1)								
comp26864_c0_seq2	Doublecortin domain-containing protein 2	-6.054294021	4.383906356	0.00047672	0.041100558	D3ZR10	Rattus norvegicus	2.12102E-08	coral	475	Doublecortin domains (2)								
comp29139_c1_seq1	Uncharacterized protein (Fragment)	-5.400520467	2.360127816	0.000360889	0.033407357	H3JN32	Strongylocentrotus purpuratus	3.11682E-10	coral	545	-	-							
comp20204_c0_seq1	Predicted protein	-5.297678773	2.499346795	0.000920249	0.061577017	A7SCX2	Nematostella vectensis	7.79557E-25	coral	716	-	-							
comp14428_c0_seq1	Predicted protein	-5.271673462	2.036005865	0.001068341	0.066788531	A7SR58	Nematostella vectensis	1.1832E-25	coral	1520	-	-							
comp35535_c0_seq1	Alpha/beta hydrolase domain-containing protein 14A	-5.206445025	2.368120818	0.000472549	0.040819501	Q922Q6	Mus musculus	2.31721E-44	coral	247	-	"AB hydrolase superfamily, ABHD14 family"							
comp8735_c0_seq1	Predicted protein	-5.168346291	2.158756092	0.000902606	0.060668134	A7SUV3	Nematostella vectensis	1.03191E-25	coral	435	-	-							
comp24029_c0_seq1	F-box only protein 36	-5.161922824	5.298202722	0.000281626	0.02859876	Q5R796	Pongo abelii	3.52735E-36	coral	188	F-box domain (1)	-							
comp27159_c0_seq1	Cyclin-J	-5.119221392	2.293299147	0.001156472	0.070444249	Q6DFJ9	Xenopus laevis	3.88407E-58	coral	384	Cyclin N-terminal domain (1)	"Cyclin family, Cyclin J subfamily"							
comp26548_c0_seq1	Predicted protein	-5.019480082	3.193609667	0.000862484	0.059214204	A7RG01	Nematostella vectensis	7.27063E-13	coral	553	-	-							
comp18771_c0_seq2	Predicted protein	-4.944464816	6.810390867	0.00030571	0.029990392	A7RSB5	Nematostella vectensis	1.17191E-29	coral	212	-	-							
comp42161_c0_seq1	Phosphoribosyl pyrophosphate synthase-associated protein 2	-4.835842569	3.535725101	0.000981368	0.063579028	Q5ZL26	Gallus gallus	4.0211E-154	coral	369	-	Ribose-phosphate pyrophosphokinase family							
comp25922_c0_seq1	Predicted protein	-4.757195941	4.404074036	0.000217303	0.024260634	A7RLK1	Nematostella vectensis	7.76976E-08	coral	243	-	-							
comp26737_c0_seq1	Predicted protein	-4.477694736	3.214303748	0.000339789	0.032137982	A7RVR8	Nematostella vectensis	4.52236E-52	coral	412	-	-							
comp27466_c0_seq1	Estradiol 17-beta-dehydrogenase 8	-4.448572435	3.259348103	0.000283232	0.02859876	Q92506	Homo sapiens	3.0626E-86	coral	261	-	Short-chain dehydrogenases/reductases (SDR) family							
comp19556_c0_seq1	2-epi-5-epi-valiolone synthase	-4.386755781	3.885371628	0.001503536	0.081903431	Q9ZAE9	Actinoplanes sp. (strain ATCC 31044 / CBS 674.73 /	1.19554E-09	coral	398	-	Dehydroquinate synthase family							
comp29751_c0_seq1	Cation channel sperm-associated protein 4	-4.344754436	5.655449073	0.000633241	0.048875871	Q7RTX7	Homo sapiens	5.32006E-38	coral	472	-	Cation channel sperm-associated (TC 1.A.1.19) family							
comp26608_c0_seq2	Meiosis-specific protein MEI4-like	-4.302698437	3.41073982	0.000511961	0.043062396	A8MW99	Homo sapiens	3.13992E-06	coral	386	-	MEI4L family							
comp14944_c0_seq1	ATP-dependent DNA helicase PIF1	-4.272886167	3.202793673	0.000890715	0.060321054	Q0R4F1	Xenopus laevis	1.0267E-101	coral	635	-	"Helicase family, PIF1 subfamily"							
comp32800_c0_seq1	G2/mitotic-specific cyclin-B	-4.13761763	4.60587739	0.001152686	0.070404922	P15206	Marthasterias glacialis	2.2464E-106	coral	388	-	"Cyclin family, Cyclin AB subfamily"							
comp28544_c0_seq1	Cyclin-dependent kinases regulatory subunit	-4.097645354	4.911266885	0.001269533	0.074790684	P41384	Patella vulgata	1.7842E-25	coral	76	-	CKS family							
comp26508_c0_seq1	EF-hand domain-containing protein D2 (Swisprosin-1)	-4.093351991	3.575161925	0.001785225	0.090372299	Q9D8Y0	Mus musculus	7.37587E-51	coral	240	EF-hand domains (2)								
comp20123_c0_seq1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA	-4.051021297	4.839253291	0.000879162	0.060083213	Q5EA24	Bos taurus	6.30826E-50	coral	462	JmjC domain (1)	MINA53/NO66 family							
comp20775_c0_seq2	Uncharacterized protein C15orf43 homolog	-4.033857378	4.139411529	0.000838847	0.058305725	Q5BJD2	Danio rerio	1.15224E-09	coral	212	-	-							
comp27310_c0_seq1	Histone H2B.1/H2B.2	-3.986647898	4.000453183	0.000520827	0.043400968	P35068	Tigriopus californicus	1.32587E-56	coral	123	-	Histone H2B family							
comp35256_c0_seq14	Putative uncharacterized protein	-3.95399923	3.135053942	0.001570467	0.084018136	C3YLI7	Branchiostoma floridae	1.76902E-07	coral	234	-	-							
comp30519_c0_seq2	Origin recognition complex subunit 5	-3.845640086	3.010712406	0.001285718	0.075249761	Q9WUV0	Mus musculus	1.9977E-161	coral	435	-	ORC5 family							
comp26532_c1_seq1	"PREDICTED: ubiquitin protein ligase E3A-like, partial "	-3.775353625	3.980566083	0.000639806	0.049200345	XP_002732646	Saccoglossus kowalevskii	1.62274E-09	coral	1513									
comp35278_c0_seq1	Collagen triple helix repeat-containing protein 1	-3.559199866	3.751344604	0.001035324	0.065760527	Q96CG8	Homo sapiens	1.6842E-43	coral	243	Collagen-like domain (1)	-							
comp24119_c0_seq1	Hydrocephalus-inducing protein	-3.434347142	4.840960588	0.001656632	0.086461122	Q80W93	Mus musculus	8.73451E-45	coral	5154	-	-							
comp34382_c0_seq1	Basic protein N23	3.252479056	9.598414937	0.001217168	0.072757436	I1Z9K2	Pinctada fucata	8.64753E-31	coral	233	-	-							
comp21215_c0_seq1	Predicted protein	3.315975139	6.69967625	0.000990772	0.063877798	A7RMY8	Nematostella vectensis	5.34336E-30	coral	551	-	-							
comp34394_c1_seq4	Putative bifunctional amine oxidase DDB_G0291301	3.318643856	3.786500037	0.000953001	0.062847109	Q54EW2	Dictyostelium discoideum	1.30727E-17	coral	1080	-	MSOX/MTOX family; Flavin monoamine oxidase family							
comp28115_c0_seq1	E3 ubiquitin-protein ligase RNF213	3.459149033	3.440882198	0.001126355	0.069079012	Q63HN8	Homo sapiens	2.45444E-09	coral	5207	RING-type zinc finger (1)								
comp19724_c0_seq1	Multiple coagulation factor deficiency protein 2 homolog	3.472649959	3.775053488	0.001649758	0.086202756	Q8K5B2	Mus musculus	2.6404E-15	coral	145	EF-hand domains (2)								
comp27852_c0_seq1	Egg protein	3.565189235	5.755435596	0.000599631	0.047412111	Q1HA50	Galaxea fascicularis	1.41891E-63	coral	272	-	-							
comp35122_c0_seq1	Uncharacterized protein	3.571521123	5.124701036	0.000503234	0.042645803	A8ZML7	Acaryochloris marina (strain MBIC 11017)	4.10929E-19	coral	147	-	-							
comp37288_c0_seq1	ATP synthase subunit a	3.607361772	3.07981181	0.000747856	0.053990131	O47494	Metridium senile	2.38739E-54	coral	229	-	ATPase A chain family							
comp27963_c0_seq1	Uncharacterized protein	3.636664118	6.379806107	0.00049049	0.04188507	I1FQQ1	Amphimedon queenslandica	7.75217E-16	coral	360	-	-							
comp33216_c0_seq1	Oncoprotein-induced transcript 3 protein	3.68193273	8.086064692	0.000636592	0.049037304	Q6V0K7	Rattus norvegicus	1.42826E-44	coral	546	EGF-like domain (1); ZP domain (1)								
comp28569_c0_seq1	Golgi-associated plant pathogenesis-related protein 1	3.737413166	2.967780057	0.000710687	0.05249013	Q9CYL5	Mus musculus	2.72573E-23	coral	154	SCP domain (1)	CRISP family							
comp24491_c0_seq5	Cyano fluorescent protein (Fragment)	3.748183743	3.546221484	0.001332728	0.075919793	B0ZZ78	Hydnophora rigida	4.10675E-12	coral	134	-	-							
comp34949_c0_seq6	Insoluble matrix shell protein 1 (Fragment)	3.755468367	6.802857339	0.001069641	0.066788531	P86982	Venerupis philippinarum	1.31371E-23	coral	148	-	-							
comp34793_c0_seq2	hypothetical protein LOTGIDRAFT_168623 	3.874907897	6.880437681	0.000262762	0.027459497	ESO84554	Lottia gigantea	1.03657E-10	coral	252	-	-							
comp28188_c0_seq1	Mono [ADP-ribose] polymerase PARP16	3.892629412	7.567718367	0.000331909	0.031863271	Q5U2Q4	Rattus norvegicus	6.33998E-76	coral	322	PARP alpha-helical domain (1); PARP catalytic domain (1)								
comp21855_c0_seq1	Probable ATP-dependent RNA helicase DDX60	3.909878962	3.789731568	0.000750418	0.054087993	Q8IY21	Homo sapiens	5.27291E-19	coral	1712	Helicase ATP-binding domain (1); Helicase C-terminal domain (1)	Helicase family							
comp25852_c0_seq1	Predicted protein	4.37545162	4.910854218	0.001730379	0.08835575	A7SZN3	Nematostella vectensis	1.53644E-14	coral	257	-	-							
comp34316_c0_seq2	N-lysine methyltransferase SETD8	4.379969014	4.094769512	5.13777E-05	0.008997519	Q0V9E9	Xenopus tropicalis	5.99611E-10	coral	336	SET domain (1)	"Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, PR/SET subfamily"							
comp22588_c0_seq2	Histone H2A-IV	4.40249673	2.17378871	0.001715556	0.088100563	P16866	Volvox carteri	1.21876E-36	coral	129	-	Histone H2A family							
comp19579_c0_seq1	Predicted protein	4.810080523	3.007513292	0.000722714	0.053028992	A7SUL5	Nematostella vectensis	2.98349E-07	coral	65	-	-							
comp26465_c0_seq4	Scleractinian cysteine-rich protein	4.843452532	8.590300941	8.6843E-05	0.012977815	B2ZG38	Montastraea faveolata	2.98771E-32	coral	74	-	-							
comp22331_c0_seq1	Protein translation factor SUI1 homolog 1	4.877723171	2.262648021	0.000528928	0.043831582	P41568	Arabidopsis thaliana	2.85993E-42	coral	113	-	SUI1 family							
comp25851_c0_seq1	Cytochrome P450 3A13	4.934696844	7.391817507	2.55099E-05	0.005344213	Q64464	Mus musculus	3.88686E-24	coral	503	-	Cytochrome P450 family							
comp43384_c0_seq1	Uncharacterized protein	5.017788051	2.078171074	0.001068147	0.066788531	E6PKC3	mine drainage metagenome	8.44455E-14	coral	164	-	-							
comp46400_c0_seq1	60S ribosomal protein L10	5.095810651	1.971001203	0.000959134	0.063049669	O22431	Pinus taeda	1.08911E-70	coral	228	-	Ribosomal protein L10e family							
comp6138_c0_seq1	40S ribosomal protein S18	5.253634627	1.885087447	0.000900641	0.060667069	Q962R1	Spodoptera frugiperda	1.25561E-48	coral	152	-	Ribosomal protein S13P family							
comp9443_c0_seq1	Cytochrome c	5.320522232	1.700927171	0.001459909	0.080604251	P15451	Chlamydomonas reinhardtii	1.15318E-19	coral	112		Cytochrome c family							
comp7901_c0_seq1	Histone H4	5.400772238	2.679103745	5.74124E-05	0.009676363	P0CG89	Glycine max	4.06753E-52	coral	103		Histone H4 family							
comp16662_c0_seq1	GTP-binding nuclear protein Ran1A (Fragment)	5.423115228	1.71360155	0.00147955	0.081095691	P54765	Lotus japonicus	2.03538E-59	coral	209	-	"Small GTPase superfamily, Ran family"							
comp14429_c0_seq1	"Peroxiredoxin-5, mitochondrial"	5.441552458	2.413043426	0.000321789	0.031091446	Q9GLW9	Papio hamadryas	2.07901E-31	coral	215	Thioredoxin domain (1)	Peroxiredoxin 2 family							
comp25108_c0_seq1	Toxin AvTX-60A	5.482968547	3.656876679	5.92363E-05	0.009872416	Q76DT2	Actineria villosa	4.3999E-15	coral	498	EGF-like domain (1); MACPF domain (1)								
comp35409_c0_seq64	Cytochrome c oxidase subunit 1	5.703299127	2.828868317	0.000661206	0.050157712	P68539	Triticum aestivum	6.65709E-68	coral	524	-	Heme-copper respiratory oxidase family							
comp36832_c0_seq1	Transmembrane protein 68	5.778629699	2.154719581	0.000247842	0.026144169	Q9D850	Mus musculus	5.89407E-09	coral	329	-								
comp20913_c1_seq1	Ribosomal RNA small subunit methyltransferase NEP1	6.049899382	2.738680943	0.000210309	0.023689894	O35130	Mus musculus	7.97111E-70	coral	244	-	NEP1 family							
comp20180_c1_seq2	Eukaryotic translation initiation factor 4 gamma 3	6.188278414	1.126066746	0.001893112	0.093677692	Q80XI3	Mus musculus	1.52972E-21	coral	1579	HEAT repeats (5); MI domain (1); MIF4G domain (1); W2 domain (1)	Eukaryotic initiation factor 4G family							
comp29389_c0_seq2	Cyclo(L-leucyl-L-leucyl) synthase	6.196905776	9.660104831	3.34085E-06	0.001188708	Q65EX3	Bacillus licheniformis (strain DSM 13 / ATCC 14580)	4.7965E-07	coral	249	-	CDPS family							
comp35611_c0_seq1	60S ribosomal protein L38	6.495148086	1.292038743	0.000838805	0.058305725	Q56FC8	Lysiphlebus testaceipes	1.88343E-12	coral	76		Ribosomal protein L38e family							
comp7979_c0_seq1	Inverted formin-2	6.503500503	1.598464403	0.000316111	0.030721466	Q0GNC1	Mus musculus	2.70134E-20	coral	1273	FH1 (formin homology 1) domain (1); FH2 (formin homology 2) domain (1); GBD/FH3 (Rho GTPase-binding/formin homology 3) domain (1); WH2 domain (1)	Formin homology family							
comp23680_c0_seq1	hypothetical protein STCU_11256 	6.583806613	5.242919244	0.001662289	0.086554845	EPY16445	Strigomonas culicis	2.69047E-13	coral	330	-	-							
comp37155_c0_seq1	40S ribosomal protein S29	6.796442864	2.03694566	0.000241885	0.025747413	Q7XYB0	Griffithsia japonica	1.55095E-25	coral	56	-	Ribosomal protein S14P family							
comp31816_c0_seq2	Uncharacterized protein	6.831766135	2.063324105	4.33944E-05	0.007866227	D3BLA3	Polysphondylium pallidum	6.17911E-23	coral	425	-	-							
comp13901_c0_seq1	60S ribosomal protein L19-2	6.881561585	2.176704408	1.42775E-05	0.003516965	Q9LUQ6	Arabidopsis thaliana	1.28809E-24	coral	209	-	Ribosomal protein L19e family							
comp24553_c1_seq1	Histone H4	6.997702352	3.256735109	4.98784E-07	0.000263076	P0CG89	Glycine max	4.36188E-34	coral	103	-	Histone H4 family							
comp9727_c0_seq1	Uncharacterized protein	7.375388218	4.096444485	6.89311E-05	0.011007787	I1GIW2	Amphimedon queenslandica	1.85806E-31	coral	107	-	-	-						
comp27678_c0_seq1	Williams-Beuren syndrome chromosomal region 27 protein	7.45336198	3.141546509	3.03353E-07	0.000191548	Q8N6F8	Homo sapiens	9.29713E-09	coral	245	-	-							
comp47850_c0_seq1	Probable arginine kinase F46H5.3	9.028383968	1.192810845	0.001741413	0.088717065	Q10454	Caenorhabditis elegans	2.84036E-40	coral	396	Phosphagen kinase C-terminal domain (1); Phosphagen kinase N-terminal domain (1)	ATP:guanido phosphotransferase family							
comp23615_c0_seq1	Uncharacterized protein	9.099217866	1.116302993	0.000870521	0.059583485	R7TPC6	Capitella teleta	6.38273E-07	coral	256	-	-							
comp16501_c0_seq2	Predicted protein (Fragment)	9.110692628	0.941753457	0.001381604	0.077814183	A7RL12	Nematostella vectensis	1.17781E-10	coral	65	-	-							
comp51782_c0_seq1	NADH-quinone oxidoreductase subunit B	9.144579269	1.261724144	0.00074632	0.053990131	Q9ZDH2	Rickettsia prowazekii (strain Madrid	9.89383E-15	coral	174	-	Complex I 20 kDa subunit family							
comp33494_c1_seq4	Cyano fluorescent protein (Fragment)	9.230892596	4.932239699	1.49882E-08	2.08905E-05	B0ZZ78	Hydnophora rigida	6.4833E-14	coral	134	-	-							
comp46493_c0_seq1	Peroxisomal biogenesis factor 3	9.262434732	1.078516535	0.000754808	0.054211564	Q9JJK3	Cricetulus longicaudatus	3.10966E-57	coral	373	-	Peroxin-3 family							
comp45086_c0_seq1	14 kDa zinc-binding protein (Protein kinase C inhibitor)	9.303011462	1.008763569	0.000958074	0.063049669	P42856	Zea mays	6.87435E-33	coral	128	HIT domain (1)	-							
comp9350_c0_seq1	Nucleoside diphosphate kinase 1	9.332712193	0.954260505	0.001227667	0.073039072	O81372	Mesembryanthemum crystallinum	4.02026E-32	coral	148	-	NDK family							
comp9587_c0_seq1	Ribonuclease Z	9.409048769	0.862516854	0.001977078	0.096239265	C0ZBP8	Brevibacillus brevis (strain 47 / JCM 6285 /	4.32012E-13	coral	318	-	RNase Z family							
comp9735_c0_seq1	60S ribosomal protein L17-2	9.436664818	1.596888995	0.000337776	0.032137982	P35267	Hordeum vulgare	9.22138E-41	coral	172	-	Ribosomal protein L22P family							
comp7590_c0_seq1	Polyubiquitin-B	9.454786141	1.549491797	0.000175088	0.020711189	Q8MKD1	Equus caballus	6.58792E-06	coral	305	Ubiquitin-like domains (4)	Ubiquitin family							
