	contig	logFC	logCPM	p-value	FDR	e-value	bitscore_x	Name	Unnamed: 0	db	entry	entryname	percent-id	align-length	mismatch	gap-opens	q.start	q.end	s.start	s.end	eval	bitscore_y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
10	TRINITY_DN7176_c0_g1_i3	-5.48278221206897	6.59052703101091	0.00492369877181681	1																													
11	TRINITY_DN22271_c0_g1_i1	-5.48843073680406	6.593462547246151	0.00526690248666734	1																													
12	TRINITY_DN30035_c0_g1_i1	-3.28083874981163	6.73589620033391	0.00544563327120506	1				7706.0	sp	Q8N5I4	DHRSX_HUMAN	50.806	124.0	61.0	0.0	180.0	551.0	202.0	325.0	1.1499999999999996e-36	138.0	Q8N5I4	DHRSX_HUMAN	reviewed	Dehydrogenase/reductase SDR family member on chromosome X (EC 1.1.-.-) (DHRSXY) (Short chain dehydrogenase/reductase family 46C member 1) (Short chain dehydrogenase/reductase family 7C member 6)	DHRSX CXorf11 DHRS5X SDR46C1 SDR7C6 UNQ6508/PRO21433	Homo sapiens (Human)	330.0	positive regulation of autophagy [GO:0010508]	extracellular region [GO:0005576]	extracellular region [GO:0005576]; oxidoreductase activity [GO:0016491]; positive regulation of autophagy [GO:0010508]	oxidoreductase activity [GO:0016491]	GO:0005576; GO:0010508; GO:0016491
13	TRINITY_DN10549_c0_g1_i1	-5.34929827800789	6.51290176597287	0.005814149637008039	1				41589.0	sp	Q5ZKJ5	MF13A_CHICK	58.052	267.0	111.0	1.0	4.0	801.0	231.0	497.0	2.899999999999999e-105	324.0	Q5ZKJ5	MF13A_CHICK	reviewed	Transmembrane protein 180 (Major facilitator superfamily domain-containing 13A)	MFSD13A TMEM180 RCJMB04_10g6	Gallus gallus (Chicken)	509.0		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
14	TRINITY_DN103218_c0_g1_i1	-5.353314876397651	6.51530487572897	0.00614817572058797	1																													
15	TRINITY_DN24437_c0_g2_i1	-5.35331963813945	6.51530487572897	0.0061691351873937395	1																													
16	TRINITY_DN30559_c0_g1_i1	-5.3533208189252806	6.51530487572897	0.00617434831722755	1																													
17	TRINITY_DN4216_c0_g1_i2	-5.3533229393148	6.51530487572897	0.00618372551981735	1																													
18	TRINITY_DN10161_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00629696147217846	1																													
19	TRINITY_DN1250_c1_g3_i3	5.3639107648877005	6.517107631690481	0.00629848266088825	1																													
20	TRINITY_DN13768_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00630219464660368	1				25661.0	sp	P16157	ANK1_HUMAN	38.69	168.0	103.0	0.0	1012.0	509.0	357.0	524.0	7.109999999999999e-21	99.4	P16157	ANK1_HUMAN	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881.0	cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016020; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0043194; GO:0044325; GO:0045199; GO:0045211; GO:0051117; GO:0072659
21	TRINITY_DN13768_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00630219464660368	1				25662.0	sp	P16157	ANK1_HUMAN	34.123000000000005	211.0	128.0	3.0	1096.0	476.0	101.0	304.0	5.160000000000001e-19	93.6	P16157	ANK1_HUMAN	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881.0	cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016020; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0043194; GO:0044325; GO:0045199; GO:0045211; GO:0051117; GO:0072659
22	TRINITY_DN13768_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00630219464660368	1				25663.0	sp	P16157	ANK1_HUMAN	33.14	172.0	114.0	1.0	1012.0	497.0	621.0	791.0	3.85e-17	87.8	P16157	ANK1_HUMAN	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881.0	cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016020; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0043194; GO:0044325; GO:0045199; GO:0045211; GO:0051117; GO:0072659
23	TRINITY_DN13768_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00630219464660368	1				25664.0	sp	P16157	ANK1_HUMAN	33.333	174.0	114.0	1.0	1033.0	512.0	583.0	754.0	1.1e-15	83.2	P16157	ANK1_HUMAN	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881.0	cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016020; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0043194; GO:0044325; GO:0045199; GO:0045211; GO:0051117; GO:0072659
24	TRINITY_DN13768_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00630219464660368	1				25665.0	sp	P16157	ANK1_HUMAN	30.526	190.0	132.0	0.0	1048.0	479.0	543.0	732.0	5.04e-15	81.3	P16157	ANK1_HUMAN	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881.0	cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]	axolemma [GO:0030673]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016020; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0043194; GO:0044325; GO:0045199; GO:0045211; GO:0051117; GO:0072659
